,sentence,tag
70,Welcome to celebal Technologies IVR Automation demo.,2
71,I can help with bank related queries.,2
72,Hello.,2
73,Hello I am Prashanth calling from celebal bank.,1
74,Am I talking to Mr Manoj?,1
75,Yes you are.,2
76,Thanks for confirming your name Manoj.,2
77,This call is being recorded by celebal Bank for security reasons. Please do not share your CVV and OTP with anyone.,0
78,Sure. OK.,2
79,"I can see that you have recently done the transaction of 42,000 from Flipkart on 16th October 2021 through your credit card.",1
80,You can instantly get this amount converted into EMI.,2
81,Would you like to convert this transaction into EMI?,1
82,I am ready to pay full payment.,0
83,"That's great, Sir.",2
84,"But the EMI offer will reduce your one time payment burden, so please allow me to suggest you a great offer.",2
85,"No, I don't want to go for EMI option.",0
86,"Sir, by opting for EMI, you won't block a big amount and it won't affect your monthly budget.",2
87,So should I proceed?,1
88,No.,0
89,I am happy with full payment option.,2
90,"That's great, Sir. Thank you for your valuable time. Keep banking with celebal tech bank. Thank you.",2
91,Thank you.,2
92,"Hello everyone,This IVR automation for banking is powered by celebal technologies.",2
93,Hi.,1
94,"Hi,I am Prashanth calling you from celebal tech bank. We have an EMI offer specially created for you. Would you like to know more about the offer?",2
95,"Yeah, sure.",2
96,"This call is being recorded by celebal tech Bank,For security reasons, please do not share your CVV and OTP with anyone,As I can see a transaction of 25,000 done on Amazon. Would you like to convert this into EMI?",1
97,"Yes, convert this one.",2
98,"That's a great choice, Sir. Could you please confirm at what tenure,Would you be interested in?",2
99,Tell me the monthly payment for tenure period of six months.,1
100,"Sure, according to the tenure period of six months, the monthly amount payable will be,5432 it will consist of 12% plus tax on the interest amount. Should I proceed?",1
101,"No,I want to talk to your,Agent.",0
102,"OK, Please wait while we are transferring this call to our agent.",1
103,"Welcome to celebal Technologies IVR atuomation demo,I can help with bank related queries.",2
104,"I want to,Upgrade my,Online transaction limit for my credit card.",1
105,"Sure,I can help with updating your transaction limit on your credit card,I can see your current limit is set to,Two Lacs,For online transactions,To what amount you would like to set the new limit too.",2
106,"I want to,Update my limit to 2,50,000.",1
107,"Please confirm that you want to update the limit for online transaction to 2,50,000.",1
108,Yes.,2
109,"Congratulations,I have updated your limit,You can now spend up to,2,50,000 for online transactions,Is there anything else I can help you with?",2
110,"Yes, I want to talk to your,Agent.",2
111,Please wait while we are transferring this call to our agent.,1
112,"Welcome to celebal Technologies IVR Automation demo,I can help with bank related queries.",2
113,Hello.,1
114,"Hello,I am Prashanth calling from celebal tech bank,Am I talking to Mr Manoj?",1
115,Yes you are.,2
116,"Thanks for confirming your name, Mr Manoj,This call is being recorded by celebal tech Bank for security reasons. Please do not share your CVV and OTP with anyone.",2
117,Sure.,1
118,"I can see that you have recently done the transaction of 42,000 from Flipkart on 16th October 2021 through your credit card,You can instantly get this amount converted into EMI. Would you like to convert this transaction into EMI?",1
119,"I am ready to pay,Full pay payment.",2
120,"That's great, Sir,But the EMI offer will reduce your one time payment burden,So please allow me to suggest you a great offer.",2
121,"No, I don't want to opt for EMI.",0
122,"OK,Sir by opting for EMI, you won't block a big amount and it won't affect your monthly budget,So should I proceed?",2
123,"Yes, proceed.",2
124,"That's great, Sir,We have customized offer available for you,You can choose from 4/8 and 11 months EMI,What, tenure period you want to pick?",2
125,"What is,Tenure period.",1
126,"Sir, that tenure period is the number of month in which you pay your EMI for the transaction amount,So can you please tell me the tenure period?",1
127,What will be the monthly payment for six month EMI option.,1
128,"Sure,According to the tenure period of six months,The monthly amount payable will be,5426,It will consist of 12% plus tax on the interest amount,Should I proceed?",1
129,"Tell me the monthly,Payment for 12 months. EMI.",1
130,"Sure, according to the tenure period of 12 months, the monthly amount payable will be,4023 it will consist of 12% plus tax on the interest amount. Should I proceed?",1
131,I want four month EMI option.,1
132,"Sure,Let me brief you,According to the tenure period of four months, your first EMI installment will be 10,670, with the interest rate of 12%,And there is also a one time processing fee applicable which will be of 250 excluding service tax,This processing fee plus your first EMI,Will be included in your upcoming bill. Should I proceed?",1
133,Is this processing fee applicable only once?,1
134,"Yes, absolutely, Sir. It will be charged only once. Should I proceed?",2
135,How much processing fee will be charged?,1
136,"After the confirmation, a processing fee of 250 + 16% GST will be added to your first installment. So should I proceed?",1
137,Can you repeat the details again?,0
138,"Of course,Let me brief you again,According to the tenure period of four months,Your first EMI installed installments will be 10,670 with the interest rate of 12%,And there is also a one time processing fee applicable which will be of 250 excluding service tags,Please help me confirming few details like credit limit and postal code before I book your EMI.",1
139,But you told me not to share any details.,0
140,"Sir, I am not asking for sensitive information. We need this details for verification purpose.",1
141,"Then,It's OK.",1
142,Thank you. Can you tell me your credit limit?,2
143,"My credit limit is 95,000.",1
144,"Thank you for confirming your credit limit,Can you help me with your postal code?",2
145,My postal code is 367523.,1
146,"Thank you for providing the details,Your request has been captured and your transaction of 42,000 will get converted into EMI within three working days,You will get confirmation SMS to your registered mobile number as well as the soft copy to your registered mail address with EMI breakup details,Do you want to,No, about preclosure charges.",2
147,Yes.,2
148,"So if you want to pre close your EMI then on individual transaction minimum 350 or 5% on remaining amount plus tax will be applicable on,Preclosure charges,Hope I conveyed the information properly.",1
149,Yes.,2
150,"You have unlocked a special credit card upgrade limited,Offer on your card,We will be happy to increase your credit limit from 95,000 to 1,80,000 after your confirmation.",2
151,"Yes, I want to,Upgrade.",2
152,"Congratulations, your credit limit is upgraded. You can now spend up to 1,80,000 on your credit card. Thank you for your valuable time. Keep banking with sellable tech bank.",2
153,"I am not happy with current conversation. I want to talk to your,Agent.",0
154,"Please wait while we are transferring this call to,Our agent.",1
155,Welcome to the IVR automation demo by celebal tech.,1
156,"Hello, how are you?",1
157,"I'm fine. CT is a health insurance company. I am Prashanth, how can I assist you today?",2
158,I have a health-care plan with you. I wanted to know when I'd have to update the policy.,1
159,"Of course, I can do that, but could you please advise few details like registered mobile number before I give you the necessary details?",1
160,"Yes, my mobile number is 9996668887.",2
161,I can tell you that we have an active health-care plan. Can you please provide your name and date of birth for authentication?,2
162,"Yes, my name is Manoj, and my date of birth is 20 June 1999.",2
163,"Thanks for the update, I can see that your policy is due for renewal on August 25th 2021, which is in,Two weeks from now. You can renew either for one year or two years.",2
164,I want to go for a two-year plan.,1
165,"For the renewal of this option, would you like me to create a payment link?",1
166,"Yes, sure.",2
167,"Yes, I will post the link with you shortly.",2
168,I have a question who all it protects,1
169,"Yes, your new insurance protects you, your spouse, and your parent.",1
170,"OK, can you give me the payment link?",1
171,"Of course, you will get a payment link on your registered phone number and email address.",2
172,Thank you.,2
173,"I'm glad to see you on the IVR Automation demo, because I can help with bank related questions.",2
174,Hello.,1
175,"Hello, I am Prashanth, a celebal banker. Am I talking to Mr Manoj?",1
176,"Yes, you are.",1
177,"Thanks for sharing your name Manoj. This call is being monitored by a celebal bank for safety reasons, so please do not reveal your CVV and OTP with anyone.",2
178,"Yes, sure.",2
179,"You can now convert this amount from Flipkart's 20,000  on 16 October 2021 using your credit card. Would you like to convert this amount into EMI?",1
180,I'm able to pay in full.,2
181,"Sir, that's fantastic, but the EMI service will eliminate your one-time payment burden, so please allow me to recommend a great deal.",1
182,"No, I don't want to go for the EMI route.",0
183,"Sir, you won't block a lot and it won't have no effect on your monthly budget, so why bother?",1
184,"No, I am content with the complete payment method.",0
185,"Sir, that's fantastic. Thank you so much for your time.",2
186,Thank you.,2
187,"Hello, I am Prashanth from Celebal Tech Bank. What do you like to hear about the offer?",0
188,Yes.,0
189,"This call is being recorded by a Celebal tech bank, but please do not reveal your CVV and OTP with anyone, as shown here.",0
190,"Rather than a mortgage, I want a loan.",0
191,What kind of loan do you need?,0
192,Can you repeat?,0
193,"Yes, Sir, what kind of loan you need?",0
194,Car loan is available.,0
195,How much money you'll need for this loan?,0
196,I didn't get you. Can you repeat?,0
197,"Yes, Sir, how much money you'll need for this loan?",0
198,I need about seven Lac.,0
199,Could  you please tell me your registered mobile number?,0
200,"Yeah, sure, my mobile number is 9586236435.",0
201,"Have entered your details, Our customer representative will reach out to you shortly, so keep banking with a celebrity tech bank.",0
202,Thank you.,0
203,Welcome to the premiere of a Celebal tech IVR automation demonstration.,1
204,How are you?,1
205,"Hello, I'm fine. Prashanth is my name. How can I assist you today?",2
206,I want to know more about my Insurance policy.,1
207,"Of course, I can do that, but could you please give me a few details before I give you the necessary details?",1
208,"Yes, sure. My phone number is 9956565232.",2
209,I can tell you that you have a current health-care plan with us.,1
210,"Yes, my name is Manoj, and my date of birth is June 1970.",2
211,"Thanks for the update. I can see that your policy is due for renewal on March 28th, which is just one week from now. You can renew one year or two years, and two years are 26,000.",2
212,I want to go for a one-year plan.,1
213,Would you like for me to create a payment link for this option?,1
214,Yes.,2
215,"Yes, I will post the link with you shortly.",2
216,I have a doubt who will be covered by this policy.,0
217,"Make your new policy protect you, your spouse, and your parent.",1
218,"OK, please send me the payment reminder.",1
219,"Of course, you will get a payment link on your new phone number.",2
220,"Welcome to celebal Technologies IVR Automation demo,I can help with bank related queries.",1
221,Hello.,1
222,"Hello, I am Prashanth calling from celebal bank,Am I talking to Mr Manoj?",1
223,Yes you are.,2
224,"Thanks for confirming your name Manoj,This call is being recorded by celebal Bank for security reasons. Please do not share your CVV and OTP with anyone.",2
225,Sure. OK.,1
226,Could you please tell me your registered mobile number?,1
227,My mobile number is 8964852365.,1
228,"Thanks for confirming your mobile number. I can see that you have recently done the transaction of 42,000 from Flipkart on 16th October 2021 through your credit card,You can instantly get this amount converted into EMI,Would you like to convert this transaction into EMI?",2
229,I am ready to pay full payment.,1
230,"That's great, Sir,But the EMI offer will reduce your one time payment burden, so please allow me to suggest you a great offer.",2
231,"No, I don't want to go for EMI option.",0
232,"Sir, by opting for EMI, you won't block a big amount and it won't affect your monthly budget,So should I proceed?",2
233,"No,I am happy with full payment option.",0
234,"That's great, Sir. Thank you for your valuable time. Keep banking with celebal tech bank. Thank you.",2
235,Thank you.,2
236,"I am Prashanth from Celebal Tech Bank.We have an EMI package specially designed for you,Would you like to know more about the product?",1
237,"No, I am not interested.",0
238,"Sir, I respect that. However, I respect that you're opting for an EMI, you ensure that your monthly budgeting will be more accurate.",1
239,"I'm occupied right now, so call me tomorrow.",1
240,"Yes, Sir,Will be back to you tomorrow. Thank you.",2
241,"Hi, I am Prashant from a celebal tech bank. We have an EMI offer made specifically for you. Would you like to know more about the product?",1
242,"No, I am not interested.",0
243,"Sir, I respect that. However, you will not be able to know exactly how much money you will need to pay for each month by opting for an EMI.",1
244,"Yes, please continue.",2
245,"This call is being recorded by a celebal tech bank, please do not reveal your CVV and OTP with anyone, as well as a transaction of 27,000 on myntra,Would you like to convert this into EMI?",1
246,"No, not this one.",0
247,"OK, I can also see a 32,000 transaction on Amazon. Would you like to turn this into EMI?",1
248,"No, I want the transaction done on Snapdeal.",1
249,"That's fantastic, you've made a snapdeal deal worth 26,500. Would you like to turn this into EMI?",2
250,"Yes, convert this one.",2
251,"Sir,You can choose from three, seven, and eleven months of service. What tenure period would you be interested in?",2
252,I didn't get you. Can you repeat?,1
253,"Sir, that's a good choice. You can choose from three, seven, and eleven months of service.",1
254,What is the tenure period?,1
255,"Sir, this is the number of months in which you pay your EMI for the transaction amount.",1
256,"So, please tell me the tenure period. The seven-month EMI option will cost me more.",1
257,"Yes, according to the seven-month tenure, the monthly amount payable would be 4143. It would include 13% more interest.",1
258,What will be the monthly payment for the ten-month EMI option?,1
259,"Yes, the monthly amount payable will be 2818, but it will include 13% more in interest income.",1
260,I like the seven-month option.,2
261,"Yes, let me tell you that your first EMI installment will be 4143, with the interest rate at 13% and a one-time processing fee of 350 excluding service tax.",1
262,"Yes, please proceed.",2
263,"Mr Manoj, the total transaction amount is 26,500, and the EMI will be 4143 for seven months of EMI, that is, EMI, which will continue to decrease every month.",1
264,Hold on for a second.,1
265,"Yes, I will hold. Please let me know when to return.",1
266,"Yes, please continue.",2
267,"Yes, I was saying, Mr Manoj, the total transaction amount is 26,500, and the EMI will be 4143 for seven months of EMI. The EMI will be reduced every month, so I hope all the details are clear.",1
268,"Ohk, we'll go.",1
269,"Sir, thank you. The EMI amount will be temporary and held in your credit card limit, but when you pay your EMI, the limit will be revealed.",1
270,"However, you told me not to reveal any information.",1
271,"Sir, I'm not asking for sensitive information. We need these details for verification purposes.Should I proceed?",1
272,"Yes, please continue.",2
273,Thank you. Can you tell me your credit limit?,1
274,"My credit score is 95,000.",1
275,Thanks for revealing your credit limit. Can you please help me with your postal code?,1
276,My postal code is 42568.,1
277,Thanks for revealing your postal code. Can you please help me with your date of birth?,1
278,It was May 1960.,1
279,"We're done, and you'll get an email update shortly. Keep banking with the celebal.",2
280,"IVR Automation demo, welcome to celebal technologies. IVR Automation demo I can help with bank related problems.",1
281,I want to update my online transaction limit for my credit card.,1
282,Could  you please tell me your registered mobile number?,1
283,"Yeah, sure, my mobile number is 7896523642.",2
284,"Good,I can help with the change of your credit card's transaction limit, but I can see that your new limit for online transactions is set to 30,000, depending on how much you want to set the new limit to.",1
285,"I want to update my current limit to 60,000.",1
286,"Please advise that you intend to raise the online transaction threshold to 60,000.",1
287,Yes.,2
288,"Congratulations, I have increased your limit for online transactions. Is there anything else I can help you with?",2
289,I want to raise the credit limit.,1
290,"Sure, I can help with the upgrade of your credit card to 60,000, but I'm not sure how much you'd like to set the new limit.",1
291,"I want to bring it up to 65,000.",1
292,"Please advise that you intend to change the limit for online transactions to 65,000.",1
293,"No, I changed my mind.",0
294,I have turned down your request for an upgrade limit. Is there anything else I can help with?,1
295,"Yes, I want to talk to an agent.",1
296,Please wait while we're calling our agent.,1
297,"I am Prashanth, a celebal tech bank. We have an EMI package that has been specially designed for you. Would you like to know more about the product?",1
298,"Yes, sure.",2
299,"This call is being recorded by a celebal tech Bank for security reasons, so please do not reveal your CVV and OTP with anyone, as I can see a transaction of,39,000 on Flipkart. Would you like to turn this into EMI?",1
300,"Yes, convert this one.",2
301,"Sir, that's a good pick, but could you please specify what tenure you're interested in?",2
302,Describe the monthly EMI for a six-month tenure.,1
303,"Yes, according to the six-month tenure, the monthly amount payable would be 4714.Should I proceed?",1
304,"No, I haven't changed my mind. I'm able to pay full.",1
305,"Sir, that's fantastic, but the EMI option will minimize your one-time payment burden, so please allow me to recommend a great deal.",2
306,"No, I don't want to go for the EMI route.",0
307,"Sir, you won't block a lot and it won't have no effect on your monthly budget, so why bother?",1
308,"No, I am able to pay in full.",1
309,"Sir, that's fantastic. Thank you so much for your time.",2
310,Thank you.,2
311,"Mr Manoj, a celebal tech bank credit card, is grateful to have a special EMI facility on your card so that you can convert your purchases over 2500 into simple monthly installments and enjoy paying back and simple in settlements.",1
312,"Okay, go ahead.",2
313,Please allow me to disclose the particulars of this EMI bid.,1
314,"Yes, please go ahead.",2
315,"Sir, thank you so much. You can now convert this amount from chroma to EMI by clicking on your credit card on May 31st, 2021.",1
316,"Yes, please go ahead.",2
317,"We have tailored EMI plans for you,Which will be worth 2550 per month for the first nine months. The EMI monthly income will be paid in full by 16% plus 16% plus interest amount.",1
318,"No, the interest rate in Affects is too high.",0
319,"No problem, we can offer you a special interest rate. According to the new offer, the interest rate will be 14% and your monthly EMI amount will be 5186 for the duration of 16 months.",1
320,No. This service cycle is too long.,0
321,That's no problem; we can change the tenure based on your needs. Please let me know what tenure you are looking for.,1
322,I want ten months only.,1
323,"Yes, we have just the right deal for ten months. The interest rate, Applicable, will be 14%, and the monthly EMI will be 2276, where the tenure period of ten months will be ten months.",2
324,"Yes, please continue.",2
325,"That's great, because we can share the charges and estimation of the monthly EMI. You can also pay the service tax on your first EMI, which will be included in your new bill.",2
326,My postal code is 6236980.,1
327,"Thank you for letting me know, what your current credit limit is.",1
328,My credit limit is 60000.,1
329,"Thanks for reporting the details. Your transaction will be converted into EMI within two working days,Sir, you will be sent a text message confirming your EMI number, and if you have used any reward point on this particular deal, it will be canceled. If you have used any reward point, please advise me that an individual transaction, whether you're higher or not, will be applicable, and tax will be levied.",1
330,That's no problem.,1
331,"On your card, you have unlocked a special credit card upgrade limit. We're going to increase your credit limit from 60,000 to 90,000 after your approval.",2
332,"Yes, I want the credit limit to be upgraded.",2
333,Could  you please tell me your registered mobile number?,1
334,"Yeah, sure, my mobile number is 9886564258.",1
335,"Congratulations, your credit limit has been raised. You can now spend up to 90,000 on your credit card.",2
336,Thank you.,2
337,"Hello, everyone. Celebal technologies power this IVR automation for banking.",1
338,Okay.,1
339,"I am Prashanth, a celebal tech bank. We have an EMI package that has been specially designed for you. Would you like to know more about the product?",2
340,"Yes, I want to know.",2
341,"This call is being recorded by a celebal tech bank, but please do not reveal your CVV and OTP with anyone, as shown here. Would you like to turn this into EMI?",1
342,"No, not this one.",0
343,"OK, I can also see a 25,000 transaction on,Nyka would you like to convert this into EMI.",1
344,I want the transaction to be completed on Nyka.,1
345,"That's fantastic,On Nyka, you've made a 25,000 purchase, would you like to turn this into EMI?",2
346,I didn't get you. Can you repeat?,0
347,"That's fantastic, you've made a 25,000 purchase on nyka. Would you like to turn this into EMI?",2
348,Hold on for a second.,1
349,"Yes, I will hold. Please let me know when to return.",1
350,"Yes, what  you were saying.",1
351,"Yes, I was saying that it's awesome. You've made a 25,000 on nyka deal. Would you like to turn this into EMI?",2
352,"Yes, sure.",2
353,"Sir,Could you please inform at what tenure you are interested in?",1
354,What is the tenure period?,1
355,"The tenure period is the number of months in which you pay your EMI for the transaction amount, so please tell me, the tenure period.",1
356,What will be the monthly payment for the 9-month EMI option?,1
357,"Yes, according to the nine-month tenure, the monthly sum payable would be 1,1600, which would include 12% more interest.",1
358,I want a six-month EMI option.,1
359,"Yes, let me tell you. Your first EMI installment will be 2171, with the interest rate of 12%. Also, there will be a one-time processing fee that will be included in your new bill.",1
360,What if I preclose this EMI?,1
361,"Your total transaction amount is 25,000, and the EMI will be 2171 for six months of EMI. The EMI will continue to decline every month, so I hope the details are clear.",2
362,"Yes, please proceed.",2
363,"Sir, the EMI amount will be temporarily held in your credit card limit, and when you pay your EMI, the limit will be revealed.",1
364,Can you repeat?,0
365,"Sir, thank you. The EMI amount will be temporarily held in your credit card limit, and when you pay your EMI, the limit will be revealed.",2
366,"However, you told me not to reveal any information.",0
367,"Sir, I am not asking for sensitive information. We need this information for verification purposes. So what should we do?",1
368,Yes.,2
369,Thank you. Can you tell me your credit limit?,2
370,"My credit score is 90,000.",1
371,Thanks for revealing your credit limit. Can you please help me with your postal code?,2
372,My postal code is 263139.,1
373,Thanks for revealing your postal code. Can you please help me with your date of birth?,2
374,2nd May 1975.,1
375,"Thanks for revealing your date of birth, Could  you please tell me your registered mobile number?",2
376,"Yeah, sure, my mobile number is 8562478926.",1
377,"We're all set, and you'll get an email update shortly. Thank you so much.",2
378,Thank you.,2
379,"Hello, everyone. Celebal technologies power this IVR automation for banking.",2
380,Hi.,2
381,"Hello, I am Prashanth from Celebal Tech Bank. We have an EMI offer made specifically for you. Do you want to know more about this product?",2
382,"Yes, sure.",2
383,"This call is being handled by a celebal tech bank, so please do not reveal your CVV and OTP with anyone for security reasons.",1
384,"Rather than a mortgage, I want a loan.",0
385,What kind of loan do you need?,1
386,"For my masters, I need a research loan.",1
387,How much money will you need for this loan?,1
388,I need 9 Lacs.,1
389,"I have locked your details,will we speak to you soon? Thank you.",2
390,Thank you so much.,2
391,"Hello, everyone. Celebal technologies power this IVR automation for banking.",2
392,Hi.,2
393,I am Prashanth from Celebal tech bank. We have an EMI offer made specifically for you. Do you want to know more about this product?,2
394,"Yes, sure.",2
395,"This call is being recorded by a celebal tech bank, Please do not reveal your CVV and OTP with anyone for security reasons.",1
396,I need a loan.,1
397,What kind of loan do you need?,1
398,Home loan.,1
399,How much money will you need for this loan?,1
400,"I need 25,00,000.",1
401,"I have saved your information, and our customer representative will reach out to you shortly. Thank you.",2
402,Thank you so much.,2
403,"Hello, everyone. Celebal technologies power this IVR automation for banking.",2
404,Hi.,1
405,"I am Prashanth, a celebal tech bank, and we have an EMI offer made for you. Would you like to know more about it?",1
406,"Yes, sure.",2
407,"This call is being recorded by a celebal tech bank, but please do not reveal your CVV and OTP with anyone, as I can see a transaction of 25,000 on Amazon. Would you like to turn this into EMI?",1
408,"Yes, convert this one.",2
409,"Sir, that's a good idea. Could you please specify what tenure you're interested in?",2
410,Describe the monthly EMI for a six-month tenure.,1
411,"Yes, according to the six-month tenure, the monthly amount payable would be 5432, and it would include 12% more interest.",2
412,"No, I want to talk to your agent.",0
413,"OK, please wait while we're calling our agent.",1
414,"IVR atuomation demo, I can assist with bank related problems.",1
415,I want to upgrade my online transaction limit for my credit card.,2
416,"Yes, I can help with the change on your credit card, but I can see that your new limit is set to,Two Lacs, for online transactions. You can also specify how much money you would like to set the new limit.",2
417,"I want to raise my ceiling to 2,50,000.",1
418,"Please advise that you intend to raise the ceiling for online transactions to 2,50,000.",1
419,Yes.,2
420,"Congratulations, I have raised your ceiling. You can now spend up to 2,50,000 for online transactions. Is there anything else I can help you with?",2
421,"Yes, I want to talk to your agent.",2
422,Please wait while we're calling our agent.,1
423,"Hi,I am Prashanth calling you from Celebal Tech Bank,We have an EMI offer specially created for you,What do you like to know more about the offer?",2
424,Yes.,2
425,"This call is being recorded by celebal tech Bank,For security reasons, please do not share your CVV and OTP with anyone,As I can see here,Transaction of 57,000 done on Flipkart. Would you like to convert this into EMI?",1
426,I want a loan instead.,1
427,What type of loan you required?,1
428,Can you repeat again?,1
429,"Sure, Sir,What type of loan you required?",2
430,Car loan.,1
431,How much amount you will need for this loan?,1
432,I didn't get you. Can you repeat?,0
433,"Sure, Sir,How much amount you will need for this loan?",1
434,I need about seven Lac.,1
435,"Have logged your details,Our customer representative will reach out to you soon, keep banking with celebal tech bank.",2
436,Thank you.,2
437,"I'm glad to see you on the IVR Automation demo, because I can help with bank related questions.",2
438,Hello.,2
439,"I am Prashanth, a celebal tech bank, am I talking to Mr Manoj?",1
440,"Yes, you are.",2
441,"Mr Manoj, thank you for sharing your name. This call is being monitored by a celebal tech bank for safety reasons. Please do not reveal your CVV and OTP with anyone else.",1
442,"Yes, sure.",2
443,"I can see that you have recently completed the conversion of 42,000 from Flipkart on October 16th 2021, using your credit card. You will then convert this amount into EMI.",1
444,I am able to pay with full pay.,2
445,"Sir, that's fantastic, but the EMI payment plan will save you from having to pay one time, so please allow me to recommend a great deal.",2
446,"No, I don't want to go for EMI.",0
447,"OK, so you can't block a significant amount and it won't have no effect on your monthly budget if you go for EMI.",2
448,"Yes, please proceed.",2
449,"Sir, that's fantastic, Sir, We have a customised offer for you. You can choose between 4/8 and 11 months EMI.",2
450,What is the time of a tenure?,1
451,"Sir, this is the number of months in which you pay your EMI for the transaction amount. So can you please tell me the tenure period?",1
452,"However, the monthly payment for the six-month EMI option will be deferred.",1
453,"Yes, according to the six-month contract, the monthly amount payable would be 5426, but it would include 12% more in interest income.Should I proceed?",2
454,EMI. Tell me the monthly payment for 12 months.,1
455,"Yes, according to the 12 month tenure, the monthly amount payable would be 4023, which would include 12% more interest income.",1
456,I want a four-month EMI option.,1
457,"Yes,Let me brief you, according to the four-month tenure, your first EMI installment will be 10,670 with the exception of service tax.",1
458,Is this processing fee only valid once?,1
459,"Yes, absolutely, Sir. It will only be charged once.",2
460,How much processing fee will be charged?,1
461,So what should be done after the announcement? A processing fee of 250 + 16% will be added to your first installment.,1
462,Can you repeat the information again?,0
463,"Of course, let me briefly outline your first EMI installments, which will be 10,670 with the interest rate of 12%.",1
